Year,Round,EventName,DriverAbbr,Team,BestLapTime_s
2018,1,Australian Grand Prix,ALO,McLaren,83.597
2018,1,Australian Grand Prix,BOT,Mercedes,82.089
2018,1,Australian Grand Prix,ERI,Sauber,84.556
2018,1,Australian Grand Prix,GAS,Toro Rosso,85.295
2018,1,Australian Grand Prix,GRO,Haas F1 Team,83.339
2018,1,Australian Grand Prix,HAM,Mercedes,81.164
2018,1,Australian Grand Prix,HAR,Toro Rosso,84.532
2018,1,Australian Grand Prix,HUL,Renault,83.532
2018,1,Australian Grand Prix,LEC,Sauber,84.636
2018,1,Australian Grand Prix,MAG,Haas F1 Team,83.187
2018,1,Australian Grand Prix,OCO,Force India,84.503
2018,1,Australian Grand Prix,PER,Force India,84.005
2018,1,Australian Grand Prix,RAI,Ferrari,81.828
2018,1,Australian Grand Prix,RIC,Red Bull Racing,82.152
2018,1,Australian Grand Prix,SAI,Renault,83.061
2018,1,Australian Grand Prix,SIR,Williams,84.922
2018,1,Australian Grand Prix,STR,Williams,84.23
2018,1,Australian Grand Prix,VAN,McLaren,83.853
2018,1,Australian Grand Prix,VER,Red Bull Racing,81.879
2018,1,Australian Grand Prix,VET,Ferrari,81.838
2018,2,Bahrain Grand Prix,ALO,McLaren,90.212
2018,2,Bahrain Grand Prix,BOT,Mercedes,88.124
2018,2,Bahrain Grand Prix,ERI,Sauber,91.063
2018,2,Bahrain Grand Prix,GAS,Toro Rosso,89.329
2018,2,Bahrain Grand Prix,GRO,Haas F1 Team,90.53
2018,2,Bahrain Grand Prix,HAM,Mercedes,88.22
2018,2,Bahrain Grand Prix,HAR,Toro Rosso,90.105
2018,2,Bahrain Grand Prix,HUL,Renault,89.187
2018,2,Bahrain Grand Prix,LEC,Sauber,91.42
2018,2,Bahrain Grand Prix,MAG,Haas F1 Team,89.358
2018,2,Bahrain Grand Prix,OCO,Force India,89.874
2018,2,Bahrain Grand Prix,PER,Force India,90.156
2018,2,Bahrain Grand Prix,RAI,Ferrari,88.101
