Year,Round,EventName,LapNumber,TrackStatus
2020,1,Austrian Grand Prix,1.0,1
2020,1,Austrian Grand Prix,2.0,1
2020,1,Austrian Grand Prix,3.0,1
2020,1,Austrian Grand Prix,4.0,1
2020,1,Austrian Grand Prix,5.0,1
2020,1,Austrian Grand Prix,6.0,1
2020,1,Austrian Grand Prix,7.0,1
2020,1,Austrian Grand Prix,8.0,1
2020,1,Austrian Grand Prix,9.0,1
2020,1,Austrian Grand Prix,10.0,1
2020,1,Austrian Grand Prix,11.0,1
2020,1,Austrian Grand Prix,12.0,1
2020,1,Austrian Grand Prix,13.0,1
2020,1,Austrian Grand Prix,14.0,1
2020,1,Austrian Grand Prix,15.0,1
2020,1,Austrian Grand Prix,16.0,1
2020,1,Austrian Grand Prix,17.0,1
2020,1,Austrian Grand Prix,18.0,1
2020,1,Austrian Grand Prix,19.0,1
2020,1,Austrian Grand Prix,20.0,12
2020,1,Austrian Grand Prix,21.0,1
2020,1,Austrian Grand Prix,22.0,1
2020,1,Austrian Grand Prix,23.0,1
2020,1,Austrian Grand Prix,24.0,124
2020,1,Austrian Grand Prix,25.0,4
2020,1,Austrian Grand Prix,26.0,4
2020,1,Austrian Grand Prix,27.0,4
2020,1,Austrian Grand Prix,28.0,4
2020,1,Austrian Grand Prix,29.0,4
2020,1,Austrian Grand Prix,30.0,41
2020,1,Austrian Grand Prix,31.0,12
2020,1,Austrian Grand Prix,32.0,1
2020,1,Austrian Grand Prix,33.0,1
2020,1,Austrian Grand Prix,34.0,1
2020,1,Austrian Grand Prix,35.0,1
2020,1,Austrian Grand Prix,36.0,1
2020,1,Austrian Grand Prix,37.0,1
2020,1,Austrian Grand Prix,38.0,1
2020,1,Austrian Grand Prix,39.0,1
2020,1,Austrian Grand Prix,40.0,1
2020,1,Austrian Grand Prix,41.0,1
2020,1,Austrian Grand Prix,42.0,1
2020,1,Austrian Grand Prix,43.0,1
2020,1,Austrian Grand Prix,44.0,1
2020,1,Austrian Grand Prix,45.0,1
2020,1,Austrian Grand Prix,46.0,1
2020,1,Austrian Grand Prix,47.0,1
2020,1,Austrian Grand Prix,48.0,1
2020,1,Austrian Grand Prix,49.0,124
2020,1,Austrian Grand Prix,50.0,4
2020,1,Austrian Grand Prix,51.0,4
2020,1,Austrian Grand Prix,52.0,4
2020,1,Austrian Grand Prix,53.0,412
2020,1,Austrian Grand Prix,54.0,4
2020,1,Austrian Grand Prix,55.0,4
2020,1,Austrian Grand Prix,56.0,4
2020,1,Austrian Grand Prix,57.0,4
2020,1,Austrian Grand Prix,58.0,4
2020,1,Austrian Grand Prix,59.0,4
2020,1,Austrian Grand Prix,60.0,41
2020,1,Austrian Grand Prix,61.0,1
2020,1,Austrian Grand Prix,62.0,1
2020,1,Austrian Grand Prix,63.0,1
2020,1,Austrian Grand Prix,64.0,1
2020,1,Austrian Grand Prix,65.0,1
2020,1,Austrian Grand Prix,66.0,1
2020,1,Austrian Grand Prix,67.0,12
2020,1,Austrian Grand Prix,20.0,1
2020,1,Austrian Grand Prix,21.0,12
2020,1,Austrian Grand Prix,67.0,1
2020,1,Austrian Grand Prix,49.0,12
2020,1,Austrian Grand Prix,50.0,24
2020,1,Austrian Grand Prix,21.0,21
2020,1,Austrian Grand Prix,23.0,124
2020,1,Austrian Grand Prix,24.0,4
