Year,Round,EventName,DriverAbbr,Team,BestLapTime_s
2021,1,Bahrain Grand Prix,ALO,Alpine,90.249
2021,1,Bahrain Grand Prix,BOT,Mercedes,89.586
2021,1,Bahrain Grand Prix,GAS,AlphaTauri,89.809
2021,1,Bahrain Grand Prix,GIO,Alfa Romeo Racing,90.708
2021,1,Bahrain Grand Prix,HAM,Mercedes,89.385
2021,1,Bahrain Grand Prix,LAT,Williams,91.936
2021,1,Bahrain Grand Prix,LEC,Ferrari,89.678
2021,1,Bahrain Grand Prix,MAZ,Haas F1 Team,93.273
2021,1,Bahrain Grand Prix,MSC,Haas F1 Team,92.449
2021,1,Bahrain Grand Prix,NOR,McLaren,89.974
2021,1,Bahrain Grand Prix,OCO,Alpine,91.724
2021,1,Bahrain Grand Prix,PER,Red Bull Racing,90.659
2021,1,Bahrain Grand Prix,RAI,Alfa Romeo Racing,91.238
2021,1,Bahrain Grand Prix,RIC,McLaren,89.927
2021,1,Bahrain Grand Prix,RUS,Williams,91.316
2021,1,Bahrain Grand Prix,SAI,Ferrari,90.009
2021,1,Bahrain Grand Prix,STR,Aston Martin,90.601
2021,1,Bahrain Grand Prix,TSU,AlphaTauri,90.607
2021,1,Bahrain Grand Prix,VER,Red Bull Racing,88.997
2021,1,Bahrain Grand Prix,VET,Aston Martin,92.056
2021,2,Emilia Romagna Grand Prix,ALO,Alpine,75.593
2021,2,Emilia Romagna Grand Prix,BOT,Mercedes,74.672
2021,2,Emilia Romagna Grand Prix,GAS,AlphaTauri,74.79
2021,2,Emilia Romagna Grand Prix,GIO,Alfa Romeo Racing,76.122
2021,2,Emilia Romagna Grand Prix,HAM,Mercedes,74.411
2021,2,Emilia Romagna Grand Prix,LAT,Williams,75.593
2021,2,Emilia Romagna Grand Prix,LEC,Ferrari,74.74
2021,2,Emilia Romagna Grand Prix,MAZ,Haas F1 Team,76.797
2021,2,Emilia Romagna Grand Prix,MSC,Haas F1 Team,76.279
2021,2,Emilia Romagna Grand Prix,NOR,McLaren,74.454
2021,2,Emilia Romagna Grand Prix,OCO,Alpine,75.117
