Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2026,1,Australian Grand Prix,63,RUS,Mercedes,1.0,1.0,25.0,Finished,58.0,58
2026,1,Australian Grand Prix,12,ANT,Mercedes,2.0,2.0,18.0,Finished,58.0,58
2026,1,Australian Grand Prix,16,LEC,Ferrari,4.0,3.0,15.0,Finished,58.0,58
2026,1,Australian Grand Prix,44,HAM,Ferrari,7.0,4.0,12.0,Finished,58.0,58
2026,1,Australian Grand Prix,1,NOR,McLaren,6.0,5.0,10.0,Finished,58.0,58
2026,1,Australian Grand Prix,3,VER,Red Bull Racing,20.0,6.0,8.0,Finished,58.0,58
2026,1,Australian Grand Prix,87,BEA,Haas F1 Team,12.0,7.0,6.0,Lapped,57.0,58
2026,1,Australian Grand Prix,41,LIN,Racing Bulls,9.0,8.0,4.0,Lapped,57.0,58
2026,1,Australian Grand Prix,5,BOR,Audi,10.0,9.0,2.0,Lapped,57.0,58
2026,1,Australian Grand Prix,10,GAS,Alpine,14.0,10.0,1.0,Lapped,57.0,58
2026,1,Australian Grand Prix,31,OCO,Haas F1 Team,13.0,11.0,0.0,Lapped,57.0,58
2026,1,Australian Grand Prix,23,ALB,Williams,15.0,12.0,0.0,Lapped,57.0,58
2026,1,Australian Grand Prix,30,LAW,Racing Bulls,8.0,13.0,0.0,Lapped,57.0,58
2026,1,Australian Grand Prix,43,COL,Alpine,16.0,14.0,0.0,Lapped,56.0,58
2026,1,Australian Grand Prix,55,SAI,Williams,21.0,15.0,0.0,Lapped,56.0,58
2026,1,Australian Grand Prix,11,PER,Cadillac,18.0,16.0,0.0,Lapped,55.0,58
2026,1,Australian Grand Prix,18,STR,Aston Martin,22.0,17.0,0.0,Lapped,43.0,58
2026,1,Australian Grand Prix,14,ALO,Aston Martin,17.0,18.0,0.0,Retired,22.0,58
2026,1,Australian Grand Prix,77,BOT,Cadillac,19.0,19.0,0.0,Retired,16.0,58
2026,1,Australian Grand Prix,6,HAD,Red Bull Racing,3.0,20.0,0.0,Retired,11.0,58
2026,1,Australian Grand Prix,81,PIA,McLaren,5.0,21.0,0.0,Did not start,,58
2026,1,Australian Grand Prix,27,HUL,Audi,11.0,22.0,0.0,Did not start,1.0,58
2026,2,Chinese Grand Prix,12,ANT,Mercedes,1.0,1.0,25.0,Finished,56.0,56
2026,2,Chinese Grand Prix,63,RUS,Mercedes,2.0,2.0,18.0,Finished,56.0,56
2026,2,Chinese Grand Prix,44,HAM,Ferrari,3.0,3.0,15.0,Finished,56.0,56
2026,2,Chinese Grand Prix,16,LEC,Ferrari,4.0,4.0,12.0,Finished,56.0,56
2026,2,Chinese Grand Prix,87,BEA,Haas F1 Team,10.0,5.0,10.0,Finished,56.0,56
2026,2,Chinese Grand Prix,10,GAS,Alpine,7.0,6.0,8.0,Finished,56.0,56
2026,2,Chinese Grand Prix,30,LAW,Racing Bulls,14.0,7.0,6.0,Finished,56.0,56
2026,2,Chinese Grand Prix,6,HAD,Red Bull Racing,9.0,8.0,4.0,Finished,56.0,56
2026,2,Chinese Grand Prix,55,SAI,Williams,17.0,9.0,2.0,Lapped,55.0,56
2026,2,Chinese Grand Prix,43,COL,Alpine,12.0,10.0,1.0,Lapped,55.0,56
2026,2,Chinese Grand Prix,27,HUL,Audi,11.0,11.0,0.0,Lapped,55.0,56
2026,2,Chinese Grand Prix,41,LIN,Racing Bulls,15.0,12.0,0.0,Lapped,55.0,56
2026,2,Chinese Grand Prix,77,BOT,Cadillac,19.0,13.0,0.0,Lapped,55.0,56
2026,2,Chinese Grand Prix,31,OCO,Haas F1 Team,13.0,14.0,0.0,Lapped,55.0,56
2026,2,Chinese Grand Prix,11,PER,Cadillac,21.0,15.0,0.0,Lapped,55.0,56
2026,2,Chinese Grand Prix,3,VER,Red Bull Racing,8.0,16.0,0.0,Retired,45.0,56
2026,2,Chinese Grand Prix,14,ALO,Aston Martin,18.0,17.0,0.0,Retired,32.0,56
2026,2,Chinese Grand Prix,18,STR,Aston Martin,20.0,18.0,0.0,Retired,10.0,56
2026,2,Chinese Grand Prix,81,PIA,McLaren,5.0,19.0,0.0,Did not start,1.0,56
2026,2,Chinese Grand Prix,1,NOR,McLaren,6.0,20.0,0.0,Did not start,1.0,56
2026,2,Chinese Grand Prix,5,BOR,Audi,16.0,21.0,0.0,Did not start,1.0,56
2026,2,Chinese Grand Prix,23,ALB,Williams,22.0,22.0,0.0,Did not start,1.0,56
