Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2018,1,Australian Grand Prix,4,BOT,77,Mercedes,15,14,STR,18,Williams,0 days 00:13:11.946000,0 days 00:11:42.473000,0 days 00:13:11.946000,False,False,False,,,,,,,False,False,False,
2018,1,Australian Grand Prix,5,RIC,3,Red Bull Racing,8,7,HUL,27,Renault,0 days 00:14:41.107000,0 days 00:13:11.946000,0 days 00:14:41.107000,False,False,False,,,,,,,False,False,True,0.1
2018,1,Australian Grand Prix,9,BOT,77,Mercedes,14,13,OCO,31,Force India,0 days 00:20:39.402000,0 days 00:19:10.332000,0 days 00:20:39.402000,False,False,False,,,,,,,False,False,True,0.1
2018,1,Australian Grand Prix,10,GRO,8,Haas F1 Team,6,5,VER,33,Red Bull Racing,0 days 00:22:08.286000,0 days 00:20:39.402000,0 days 00:22:08.286000,False,False,False,,,,,,,False,False,True,0.1
2018,1,Australian Grand Prix,10,HUL,27,Renault,8,7,VER,33,Red Bull Racing,0 days 00:22:08.286000,0 days 00:20:39.402000,0 days 00:22:08.286000,False,False,False,,,,,,,False,False,True,0.1
2018,1,Australian Grand Prix,10,RIC,3,Red Bull Racing,7,6,VER,33,Red Bull Racing,0 days 00:22:08.286000,0 days 00:20:39.402000,0 days 00:22:08.286000,False,False,True,,,,,,,False,False,True,0.1
2018,1,Australian Grand Prix,31,ALO,14,McLaren,6,5,VER,33,Red Bull Racing,0 days 00:57:29.022000,0 days 00:55:10.165000,0 days 00:57:29.022000,False,False,False,,,,,,,False,False,False,
2018,1,Australian Grand Prix,32,LEC,16,Sauber,14,13,STR,18,Williams,0 days 00:58:57.020000,0 days 00:57:29.022000,0 days 00:58:57.020000,False,False,False,,,,,,,False,False,False,
2018,1,Australian Grand Prix,35,BOT,77,Mercedes,9,8,VAN,2,McLaren,0 days 01:03:19.568000,0 days 01:01:52.468000,0 days 01:03:19.568000,False,False,False,,,,,,,False,False,False,
2018,2,Bahrain Grand Prix,4,HUL,27,Renault,7,6,OCO,31,Force India,0 days 00:15:00.081000,0 days 00:13:03.531000,0 days 00:15:00.081000,False,False,False,,,,,,,False,False,True,0.1
2018,2,Bahrain Grand Prix,5,GRO,8,Haas F1 Team,14,13,STR,18,Williams,0 days 00:16:35.802000,0 days 00:15:00.081000,0 days 00:16:35.802000,False,False,False,,,,,,,False,False,True,0.1
2018,2,Bahrain Grand Prix,5,HAM,44,Mercedes,9,6,ALO,14,McLaren,0 days 00:16:35.802000,0 days 00:15:00.081000,0 days 00:16:35.802000,False,False,False,,,,,,,False,False,True,0.1
2018,2,Bahrain Grand Prix,5,HAM,44,Mercedes,9,6,HUL,27,Renault,0 days 00:16:35.802000,0 days 00:15:00.081000,0 days 00:16:35.802000,False,False,False,,,,,,,False,False,True,0.1
2018,2,Bahrain Grand Prix,5,HAM,44,Mercedes,9,6,OCO,31,Force India,0 days 00:16:35.802000,0 days 00:15:00.081000,0 days 00:16:35.802000,False,False,False,,,,,,,False,False,True,0.1
2018,2,Bahrain Grand Prix,5,PER,11,Force India,17,16,SIR,35,Williams,0 days 00:16:35.802000,0 days 00:15:00.081000,0 days 00:16:35.802000,False,False,False,,,,,,,False,False,True,0.1
2018,2,Bahrain Grand Prix,5,VAN,2,McLaren,15,14,STR,18,Williams,0 days 00:16:35.802000,0 days 00:15:00.081000,0 days 00:16:35.802000,False,False,False,,,,,,,False,False,True,0.1
2018,2,Bahrain Grand Prix,6,HAM,44,Mercedes,6,5,MAG,20,Haas F1 Team,0 days 00:18:11.171000,0 days 00:16:35.802000,0 days 00:18:11.171000,False,False,False,,,,,,,False,False,True,0.1
