Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2018,9,Austrian Grand Prix,70.0,LEC,16,Sauber,10.0,9.0,ERI,9,Sauber,0 days 01:27:31.963000,0 days 01:26:24.521000,0 days 01:27:31.963000,False,False,True,0.0,0.5060521498781767,32.0,,0.6,,False,False,False,
2018,9,Austrian Grand Prix,70.0,OCO,31,Force India,7.0,6.0,PER,11,Force India,0 days 01:27:31.963000,0 days 01:26:24.521000,0 days 01:27:31.963000,False,False,True,0.0,0.5061513044621728,22.0,250.0,1.0,,False,True,False,0.2
2019,11,German Grand Prix,18.0,NOR,4,McLaren,14.0,13.0,SAI,55,McLaren,0 days 01:09:13.944000,0 days 01:07:42.441000,0 days 01:09:13.944000,False,False,True,False,0.5570280086869774,19.25,250.00000000000003,1.0,-100.0,False,True,True,0.3
2019,12,Hungarian Grand Prix,18.0,KVY,26,Toro Rosso,13.0,11.0,ALB,23,Toro Rosso,0 days 00:57:23.769000,0 days 00:56:01.935000,0 days 00:57:23.769000,False,False,True,False,0.5407255102518068,2.6666666666666687,207.0,0.56,,False,True,False,0.2
2019,12,Hungarian Grand Prix,68.0,VET,5,Ferrari,4.0,3.0,LEC,16,Ferrari,0 days 02:05:09.927000,0 days 02:03:49.354000,0 days 02:05:09.927000,False,False,True,False,0.5421343081075813,4.0,285.00000000000006,0.64,,False,True,False,0.2
2020,1,Austrian Grand Prix,26.0,LEC,16,Ferrari,7.0,5.0,VET,5,Ferrari,0 days 01:06:12.191000,0 days 01:04:21.628000,0 days 01:06:12.191000,False,False,True,False,0.5278123906068306,3.0,319.99999999999994,0.58,,False,True,True,0.3
2020,1,Austrian Grand Prix,26.0,NOR,4,McLaren,10.0,7.0,SAI,55,McLaren,0 days 01:06:12.191000,0 days 01:04:21.628000,0 days 01:06:12.191000,False,False,True,False,0.5473815460817888,19.0,,0.6,,False,False,True,0.1
2020,1,Austrian Grand Prix,55.0,VET,5,Ferrari,13.0,6.0,LEC,16,Ferrari,0 days 01:44:54.950000,0 days 01:43:12.325000,0 days 01:44:54.950000,False,False,True,False,0.3255010776719201,5.416600746666671,261.0,0.725,,False,True,False,0.2
2020,1,Austrian Grand Prix,59.0,SAI,55,McLaren,6.0,4.0,NOR,4,McLaren,0 days 01:49:55.863000,0 days 01:48:46.738000,0 days 01:49:55.863000,False,False,True,False,0.5288294538060322,5.833333333333334,79.99999999999996,0.563,,False,False,False,
2020,3,Hungarian Grand Prix,19.0,VET,5,Ferrari,9.0,8.0,LEC,16,Ferrari,0 days 01:00:08.808000,0 days 00:58:46.411000,0 days 01:00:08.808000,False,False,True,True,0.5428219719772424,4.0,150.0,0.64,,False,True,False,0.2
