Year,Round,EventName,LapNumber,TrackStatus
2018,1,Australian Grand Prix,1.0,
2018,1,Australian Grand Prix,2.0,
2018,1,Australian Grand Prix,3.0,
2018,1,Australian Grand Prix,4.0,
2018,1,Australian Grand Prix,5.0,21.0
2018,1,Australian Grand Prix,6.0,2.0
2018,1,Australian Grand Prix,7.0,21.0
2018,1,Australian Grand Prix,8.0,1.0
2018,1,Australian Grand Prix,9.0,12.0
2018,1,Australian Grand Prix,10.0,1.0
2018,1,Australian Grand Prix,11.0,1.0
2018,1,Australian Grand Prix,12.0,1.0
2018,1,Australian Grand Prix,13.0,1.0
2018,1,Australian Grand Prix,14.0,1.0
2018,1,Australian Grand Prix,15.0,1.0
2018,1,Australian Grand Prix,16.0,1.0
2018,1,Australian Grand Prix,17.0,1.0
2018,1,Australian Grand Prix,18.0,1.0
2018,1,Australian Grand Prix,19.0,1.0
2018,1,Australian Grand Prix,20.0,1.0
2018,1,Australian Grand Prix,21.0,1.0
2018,1,Australian Grand Prix,22.0,1.0
2018,1,Australian Grand Prix,23.0,12.0
2018,1,Australian Grand Prix,24.0,21.0
2018,1,Australian Grand Prix,25.0,126.0
2018,1,Australian Grand Prix,26.0,6.0
2018,1,Australian Grand Prix,27.0,64.0
2018,1,Australian Grand Prix,28.0,4.0
2018,1,Australian Grand Prix,29.0,4.0
2018,1,Australian Grand Prix,30.0,4.0
2018,1,Australian Grand Prix,31.0,41.0
2018,1,Australian Grand Prix,32.0,1.0
2018,1,Australian Grand Prix,33.0,1.0
2018,1,Australian Grand Prix,34.0,1.0
2018,1,Australian Grand Prix,35.0,1.0
2018,1,Australian Grand Prix,36.0,1.0
2018,1,Australian Grand Prix,37.0,1.0
2018,1,Australian Grand Prix,38.0,1.0
2018,1,Australian Grand Prix,39.0,1.0
2018,1,Australian Grand Prix,40.0,1.0
2018,1,Australian Grand Prix,41.0,1.0
2018,1,Australian Grand Prix,42.0,1.0
2018,1,Australian Grand Prix,43.0,1.0
2018,1,Australian Grand Prix,44.0,1.0
2018,1,Australian Grand Prix,45.0,1.0
2018,1,Australian Grand Prix,46.0,1.0
2018,1,Australian Grand Prix,47.0,1.0
2018,1,Australian Grand Prix,48.0,1.0
2018,1,Australian Grand Prix,49.0,1.0
2018,1,Australian Grand Prix,50.0,1.0
2018,1,Australian Grand Prix,51.0,1.0
2018,1,Australian Grand Prix,52.0,1.0
2018,1,Australian Grand Prix,53.0,1.0
2018,1,Australian Grand Prix,54.0,1.0
2018,1,Australian Grand Prix,55.0,1.0
2018,1,Australian Grand Prix,56.0,1.0
2018,1,Australian Grand Prix,57.0,1.0
2018,1,Australian Grand Prix,58.0,1.0
2018,1,Australian Grand Prix,6.0,12.0
2018,1,Australian Grand Prix,9.0,1.0
2018,1,Australian Grand Prix,10.0,12.0
2018,1,Australian Grand Prix,24.0,12.0
2018,1,Australian Grand Prix,25.0,12.0
2018,1,Australian Grand Prix,26.0,26.0
2018,1,Australian Grand Prix,25.0,26.0
2018,1,Australian Grand Prix,10.0,21.0
2018,1,Australian Grand Prix,5.0,2.0
2018,1,Australian Grand Prix,6.0,21.0
2018,1,Australian Grand Prix,22.0,12.0
2018,1,Australian Grand Prix,23.0,21.0
2018,1,Australian Grand Prix,26.0,64.0
2018,1,Australian Grand Prix,27.0,4.0
2018,1,Australian Grand Prix,5.0,
2018,1,Australian Grand Prix,23.0,1.0
2018,1,Australian Grand Prix,25.0,21.0
2018,1,Australian Grand Prix,27.0,6.0
2018,1,Australian Grand Prix,28.0,64.0
2018,2,Bahrain Grand Prix,1.0,21.0
2018,2,Bahrain Grand Prix,2.0,126.0
