Year,Round,EventName,DriverAbbr,DriverNumber,TeamName,GridPosition,Position,ClassifiedLaps,TotalRaceLaps,Status,Points,internal_overtakes,external_overtakes,competitive_threats,competitive_opportunities,season_phase,tournament_criticality,is_mathematically_locked_out,is_mathematically_safe,quali_gap_seconds,within_team_pts_gap_before,is_leading_teammate,driver_ct,driver_co,driver_pts_gap_to_p1,times_overtaken_total,driver_experience,sc_lap_fraction,vsc_lap_fraction,CircuitType_street,CircuitLength_km,DRS_Zones,IsSprintWeekend,IsRainy,RainyLapFraction,AirTemp_mean,TrackTemp_mean,Humidity_mean,WindSpeed_mean
2018,1,Australian Grand Prix,VET,5,Ferrari,3,1,58,58,Finished,25,0,0,0,0,0.047619047619047616,0,1,1,0.6640000000000015,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,HAM,44,Mercedes,1,2,58,58,Finished,18,0,0,0,0,0.047619047619047616,0,1,1,0,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,RAI,7,Ferrari,2,3,58,58,Finished,15,0,0,0,0,0.047619047619047616,0,1,1,0.6640000000000015,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,RIC,3,Red Bull Racing,8,4,58,58,Finished,12,1,1,0,0,0.047619047619047616,0,1,1,0.7150000000000034,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,ALO,14,McLaren,10,5,58,58,Finished,10,0,1,0,0,0.047619047619047616,0,1,1,2.4329999999999927,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,VER,33,Red Bull Racing,4,6,58,58,Finished,8,0,0,0,0,0.047619047619047616,0,1,1,0.7150000000000034,0,0,0,0,0,4,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,HUL,27,Renault,7,7,58,58,Finished,6,0,1,0,0,0.047619047619047616,0,1,1,1.8970000000000056,0,0,0,0,0,1,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,BOT,77,Mercedes,15,8,58,58,Finished,4,0,3,0,0,0.047619047619047616,0,1,1,0,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,VAN,2,McLaren,11,9,58,58,Finished,2,0,0,0,0,0.047619047619047616,0,1,1,2.4329999999999927,0,0,0,0,0,1,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,SAI,55,Renault,9,10,58,58,Finished,1,0,0,0,0,0.047619047619047616,0,1,1,1.8970000000000056,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,PER,11,Force India,12,11,58,58,Finished,0,0,0,0,0,0.047619047619047616,0,1,1,2.840999999999994,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,OCO,31,Force India,14,12,58,58,Finished,0,0,0,0,0,0.047619047619047616,0,1,1,2.840999999999994,0,0,0,0,0,1,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,LEC,16,Sauber,18,13,58,58,Finished,0,0,1,0,0,0.047619047619047616,0,1,1,3.391999999999996,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,STR,18,Williams,13,14,58,58,Finished,0,0,0,0,0,0.047619047619047616,0,1,1,3.0660000000000025,0,0,0,0,0,2,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,HAR,28,Toro Rosso,16,15,57,58,+1 Lap,0,0,0,0,0,0.047619047619047616,0,1,1,3.367999999999995,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,GRO,8,Haas F1 Team,6,16,24,58,Wheel,0,0,1,0,0,0.047619047619047616,0,1,1,2.022999999999996,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,MAG,20,Haas F1 Team,5,17,22,58,Wheel,0,0,0,0,0,0.047619047619047616,0,1,1,2.022999999999996,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
2018,1,Australian Grand Prix,GAS,10,Toro Rosso,20,18,14,58,Engine,0,0,0,0,0,0.047619047619047616,0,1,1,3.367999999999995,0,0,0,0,0,0,0,0.1111111111111111,0,1,5.278,4,0,TRUE,0.045,24.077,36.324,30.915,3.692
